Body,,,,,,,,Foods,,,Activities,,,,,,,,,,,Sleep,,,,
Date,Weight,BMI,Fat,Blood Pressure,Normal Heart Rate,Glucose (Morning),,Date,Calories In,,Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,,Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
3/11/13,86.65,27.04,28,0/0,0,0,,3/11/13,0,,3/11/13,"2,547",0,0,0,"1,440",0,0,0,0,,3/11/13,0,0,0,0
4/11/13,86.72,27.06,27.916,0/0,0,0,,4/11/13,0,,4/11/13,"2,548",0,0,0,"1,440",0,0,0,0,,4/11/13,0,0,0,0
5/11/13,86.78,27.08,27.832,0/0,0,0,,5/11/13,0,,5/11/13,"2,548",0,0,0,"1,440",0,0,0,0,,5/11/13,0,0,0,0
6/11/13,86.85,27.1,27.748,135/88,0,4.7,,6/11/13,0,,6/11/13,"2,547",0,0,0,"1,440",0,0,0,0,,6/11/13,0,0,0,0
7/11/13,86.91,27.12,27.664,0/0,0,0,,7/11/13,0,,7/11/13,"2,547",0,0,0,"1,440",0,0,0,0,,7/11/13,0,0,0,0
8/11/13,86.98,27.14,27.58,0/0,0,0,,8/11/13,0,,8/11/13,"2,547",0,0,0,"1,440",0,0,0,0,,8/11/13,0,0,0,0
9/11/13,87.04,27.17,27.496,0/0,0,0,,9/11/13,0,,9/11/13,"2,548",0,0,0,"1,440",0,0,0,0,,9/11/13,0,0,0,0
10/11/13,87.11,27.19,27.412,0/0,0,0,,10/11/13,0,,10/11/13,"2,560",0,0,0,"1,440",0,0,0,0,,10/11/13,0,0,0,0
11/11/13,87.17,27.21,27.328,0/0,0,0,,11/11/13,0,,11/11/13,"2,559",0,0,0,"1,440",0,0,0,0,,11/11/13,0,0,0,0
12/11/13,87.24,27.23,27.244,0/0,0,0,,12/11/13,0,,12/11/13,"2,559",0,0,0,"1,440",0,0,0,0,,12/11/13,0,0,0,0
13/11/13,87.3,27.25,27.16,0/0,0,0,,13/11/13,0,,13/11/13,"2,560",0,0,0,"1,440",0,0,0,0,,13/11/13,0,0,0,0
14/11/13,87.37,27.27,27.076,0/0,0,0,,14/11/13,0,,14/11/13,"2,560",0,0,0,"1,440",0,0,0,0,,14/11/13,0,0,0,0
15/11/13,87.43,27.29,26.992,0/0,0,0,,15/11/13,0,,15/11/13,"2,559",0,0,0,"1,440",0,0,0,0,,15/11/13,0,0,0,0
16/11/13,87.5,27.31,26.899,131/89,85,0,,16/11/13,0,,16/11/13,"2,559",0,0,0,"1,440",0,0,0,0,,16/11/13,0,0,0,0
17/11/13,87.5,27.31,26.899,0/0,0,0,,17/11/13,0,,17/11/13,"2,559",0,0,0,"1,440",0,0,0,0,,17/11/13,0,0,0,0
18/11/13,87.5,27.31,26.899,0/0,0,0,,18/11/13,"1,170",,18/11/13,"2,157","3,092",2.28,0,"1,295",93,52,0,532,,18/11/13,0,0,0,0
19/11/13,87.49,27.3,26.899,0/0,0,0,,19/11/13,20,,19/11/13,"2,481","5,527",4.08,0,781,145,68,8,856,,19/11/13,391,40,5,438
20/11/13,87.47,27.3,26.899,0/0,0,0,,20/11/13,"1,189",,20/11/13,"2,603","7,345",5.43,0,754,126,42,39,927,,20/11/13,334,21,4,381
21/11/13,87.46,27.3,26.899,0/0,0,0,,21/11/13,554,,21/11/13,"2,775","9,991",7.38,0,676,125,59,53,"1,144",,21/11/13,378,8,7,521
22/11/13,87.44,27.29,26.899,0/0,0,0,,22/11/13,"1,194",,22/11/13,"2,788","10,318",7.63,0,757,121,95,42,"1,200",,22/11/13,345,4,2,438
23/11/13,87.43,27.29,26.899,0/0,0,0,,23/11/13,447,,23/11/13,"2,618","7,845",5.8,0,990,175,81,17,"1,109",,23/11/13,177,0,0,177
24/11/13,87.42,27.28,26.899,134/79,101,0,,24/11/13,"3,098",,24/11/13,"3,229","14,422",10.66,0,499,268,148,44,"1,934",,24/11/13,454,5,3,481
25/11/13,87.4,27.28,26.899,0/0,0,0,,25/11/13,433,,25/11/13,"2,927","10,535",7.79,0,501,247,105,31,"1,531",,25/11/13,494,46,9,556
26/11/13,87.44,27.29,27.059,0/0,0,0,,26/11/13,613,,26/11/13,"2,779","9,508",7.04,0,671,195,113,21,"1,326",,26/11/13,422,13,8,440
27/11/13,87.48,27.3,27.219,0/0,0,0,,27/11/13,403,,27/11/13,"2,912","10,457",7.73,0,615,224,115,26,"1,476",,27/11/13,414,21,4,460
28/11/13,87.52,27.32,27.379,0/0,0,0,,28/11/13,224,,28/11/13,"3,052","12,608",9.32,0,589,216,132,40,"1,642",,28/11/13,435,24,8,463
29/11/13,87.56,27.33,27.539,0/0,0,0,,29/11/13,0,,29/11/13,"3,049","11,996",8.87,0,638,263,122,27,"1,671",,29/11/13,221,140,7,390
30/11/13,87.6,27.34,27.7,132/82,94,0,,30/11/13,0,,30/11/13,"3,243","14,096",10.42,0,481,310,166,24,"1,998",,30/11/13,337,109,7,450
1/12/13,87.68,27.36,28.028,0/0,0,0,,1/12/13,0,,1/12/13,"3,076","13,153",9.72,0,436,234,159,26,"1,744",,1/12/13,489,87,6,585
2/12/13,87.76,27.39,28.356,0/0,0,0,,2/12/13,0,,2/12/13,"2,836","10,174",7.52,0,593,203,109,27,"1,396",,2/12/13,486,22,3,508
3/12/13,87.83,27.41,28.684,0/0,0,0,,3/12/13,0,,3/12/13,"3,185","14,399",10.64,0,537,230,160,38,"1,837",,3/12/13,338,117,11,475
4/12/13,87.91,27.44,29.012,0/0,0,0,,4/12/13,0,,4/12/13,"3,083","12,326",9.11,0,571,245,147,27,"1,708",,4/12/13,388,36,4,450
5/12/13,87.99,27.46,29.34,0/0,0,0,,5/12/13,0,,5/12/13,"2,909","10,419",7.7,0,536,219,112,28,"1,466",,5/12/13,315,173,11,545
6/12/13,88.07,27.49,29.668,0/0,0,0,,6/12/13,0,,6/12/13,"3,084","12,893",9.53,0,540,236,130,39,"1,706",,6/12/13,433,19,10,495
7/12/13,88.15,27.51,30,137/85,0,0,,7/12/13,0,,7/12/13,"3,117","12,264",9.07,0,465,295,145,20,"1,814",,7/12/13,450,58,10,515
8/12/13,88.23,27.54,29.572,0/0,0,0,,8/12/13,0,,8/12/13,"3,125","14,075",10.4,0,447,215,133,45,"1,742",,8/12/13,477,109,14,600
9/12/13,88.31,27.56,29.144,0/0,0,0,,9/12/13,0,,9/12/13,"3,097","12,891",9.53,0,591,227,142,32,"1,692",,9/12/13,394,41,14,448
10/12/13,88.38,27.58,28.716,0/0,0,0,,10/12/13,0,,10/12/13,"3,153","13,749",10.16,0,548,235,152,37,"1,800",,10/12/13,428,30,7,468
11/12/13,88.46,27.61,28.288,0/0,0,0,,11/12/13,0,,11/12/13,"3,034","11,994",8.86,0,603,230,132,30,"1,631",,11/12/13,413,24,9,445
12/12/13,88.54,27.63,27.86,0/0,0,0,,12/12/13,0,,12/12/13,"2,975","12,406",9.17,0,532,187,107,51,"1,537",,12/12/13,539,15,9,563
13/12/13,88.62,27.66,27.432,0/0,0,0,,13/12/13,0,,13/12/13,"3,130","13,383",9.89,0,505,241,150,34,"1,780",,13/12/13,439,60,9,510
14/12/13,88.7,27.68,27,0/0,0,0,,14/12/13,0,,14/12/13,"2,927","10,097",7.46,0,554,255,136,10,"1,547",,14/12/13,469,3,2,485
15/12/13,88.62,27.66,26.989,0/0,0,0,,15/12/13,0,,15/12/13,"2,941","10,004",7.39,0,586,283,115,14,"1,573",,15/12/13,403,20,4,442
16/12/13,88.54,27.63,26.978,0/0,0,0,,16/12/13,0,,16/12/13,"3,230","15,454",11.42,0,551,215,133,60,"1,849",,16/12/13,440,34,8,481
17/12/13,88.46,27.61,26.967,0/0,0,0,,17/12/13,0,,17/12/13,"3,219","14,685",10.85,0,503,257,149,41,"1,893",,17/12/13,439,20,5,490
18/12/13,88.38,27.58,26.956,0/0,0,0,,18/12/13,0,,18/12/13,"2,988","11,506",8.5,0,647,257,106,35,"1,612",,18/12/13,352,19,6,395
19/12/13,88.3,27.56,26.945,0/0,0,0,,19/12/13,0,,19/12/13,"3,065","12,326",9.11,0,643,222,141,33,"1,645",,19/12/13,351,35,9,401
20/12/13,88.22,27.53,26.934,0/0,0,0,,20/12/13,0,,20/12/13,"3,106","13,438",9.93,0,563,220,156,36,"1,736",,20/12/13,447,6,4,465
21/12/13,88.14,27.51,26.923,0/0,0,0,,21/12/13,0,,21/12/13,"2,989","11,066",8.18,0,534,268,148,5,"1,637",,21/12/13,474,0,0,485
22/12/13,88.06,27.48,26.912,0/0,0,0,,22/12/13,0,,22/12/13,"2,966","11,034",8.15,0,546,245,140,18,"1,590",,22/12/13,458,17,8,491
23/12/13,87.98,27.46,26.901,0/0,0,0,,23/12/13,0,,23/12/13,"3,056","12,378",9.17,0,"1,008",267,144,21,"1,731",,23/12/13,0,0,0,0
24/12/13,87.9,27.43,26.89,0/0,0,0,,24/12/13,0,,24/12/13,"3,181","12,868",9.51,0,505,325,133,29,"1,909",,24/12/13,425,10,6,448
25/12/13,87.82,27.41,26.879,0/0,0,0,,25/12/13,0,,25/12/13,"2,470","4,762",3.52,0,513,222,59,0,975,,25/12/13,464,167,11,646
26/12/13,87.74,27.38,26.868,0/0,0,0,,26/12/13,0,,26/12/13,"3,010","11,242",8.31,0,590,258,137,22,"1,643",,26/12/13,422,6,5,433
27/12/13,87.66,27.36,26.857,0/0,0,0,,27/12/13,0,,27/12/13,"2,820","8,827",6.52,0,574,245,101,15,"1,381",,27/12/13,468,12,4,505
28/12/13,87.58,27.33,26.846,0/0,0,0,,28/12/13,0,,28/12/13,"2,972","11,618",8.59,0,524,219,143,22,"1,570",,28/12/13,490,32,11,532
29/12/13,87.5,27.31,26.835,0/0,0,0,,29/12/13,0,,29/12/13,"3,070","11,847",8.75,0,458,285,113,32,"1,724",,29/12/13,481,68,9,552
30/12/13,87.42,27.28,26.824,0/0,0,0,,30/12/13,0,,30/12/13,"3,038","11,961",8.84,0,660,244,113,36,"1,626",,30/12/13,333,12,5,387
31/12/13,87.34,27.26,26.813,0/0,0,0,,31/12/13,0,,31/12/13,"2,924","9,788",7.24,0,"1,021",281,131,7,"1,569",,31/12/13,0,0,0,0
1/1/14,87.26,27.23,26.802,0/0,0,0,,1/1/14,0,,1/1/14,"2,208","2,864",2.12,0,879,120,36,0,548,,1/1/14,328,39,12,405
2/1/14,87.18,27.21,26.791,0/0,0,0,,2/1/14,0,,2/1/14,"3,302","15,549",11.49,0,431,280,183,26,"2,038",,2/1/14,484,17,5,520
3/1/14,87.1,27.18,26.78,0/0,0,0,,3/1/14,0,,3/1/14,"3,143","13,100",9.68,0,"1,009",273,121,37,"1,778",,3/1/14,0,0,0,0
4/1/14,87,27.15,26.769,0/0,0,0,,4/1/14,0,,4/1/14,"2,908","10,947",8.09,0,523,224,113,30,"1,503",,4/1/14,493,33,9,550
5/1/14,85.29,26.62,26.758,0/0,0,0,,5/1/14,0,,5/1/14,"2,970","12,331",9.11,0,473,269,146,22,"1,688",,5/1/14,453,32,5,530
6/1/14,83.59,26.09,26.747,0/0,0,0,,6/1/14,0,,6/1/14,"3,025","14,632",10.81,0,561,209,133,57,"1,702",,6/1/14,394,22,5,480
7/1/14,81.88,25.55,26.736,0/0,0,0,,7/1/14,0,,7/1/14,"2,901","12,955",9.57,0,661,195,120,47,"1,522",,7/1/14,349,56,10,417
8/1/14,80.17,25.02,26.725,0/0,0,0,,8/1/14,0,,8/1/14,"3,083","15,386",11.37,0,"1,004",224,158,54,"1,814",,8/1/14,0,0,0,0
9/1/14,78.46,24.49,26.714,0/0,0,0,,9/1/14,0,,9/1/14,"2,861","12,364",9.14,0,562,230,105,43,"1,534",,9/1/14,471,15,8,500
10/1/14,76.75,23.95,26.703,0/0,0,0,,10/1/14,0,,10/1/14,"3,014","15,198",11.23,0,432,211,134,63,"1,724",,10/1/14,442,44,6,600
11/1/14,76.97,24.02,26.692,0/0,0,0,,11/1/14,0,,11/1/14,"3,245","17,425",12.88,0,987,221,177,55,"1,985",,11/1/14,0,0,0,0
12/1/14,77.18,24.09,26.681,0/0,0,0,,12/1/14,0,,12/1/14,"2,830","11,601",8.57,0,"1,081",198,127,34,"1,473",,12/1/14,0,0,0,0
13/1/14,77.4,24.16,26.67,0/0,0,0,,13/1/14,0,,13/1/14,"2,930","12,015",8.88,0,696,209,89,51,"1,500",,13/1/14,388,3,3,395
14/1/14,77.62,24.22,26.659,0/0,0,0,,14/1/14,0,,14/1/14,"3,079","13,248",9.79,0,542,234,145,39,"1,723",,14/1/14,394,76,13,480
15/1/14,77.83,24.29,26.648,0/0,0,0,,15/1/14,0,,15/1/14,"3,178","14,600",10.79,0,"1,001",259,125,55,"1,858",,15/1/14,0,0,0,0
16/1/14,78.05,24.36,26.637,0/0,0,0,,16/1/14,0,,16/1/14,"2,912","11,236",8.3,0,"1,079",213,118,30,"1,479",,16/1/14,0,0,0,0
17/1/14,78.27,24.43,26.626,0/0,0,0,,17/1/14,0,,17/1/14,"3,141","13,882",10.27,0,997,263,142,38,"1,821",,17/1/14,0,0,0,0
18/1/14,78.49,24.5,26.615,0/0,0,0,,18/1/14,0,,18/1/14,"3,204","15,206",11.24,0,"1,006",246,127,61,"1,881",,18/1/14,0,0,0,0
19/1/14,78.7,24.56,26.604,0/0,0,0,,19/1/14,0,,19/1/14,"2,499","7,851",5.8,0,"1,212",124,76,28,981,,19/1/14,0,0,0,0
20/1/14,78.92,24.63,26.593,0/0,0,0,,20/1/14,0,,20/1/14,"3,038","13,970",10.32,0,"1,082",175,126,57,"1,623",,20/1/14,0,0,0,0
21/1/14,79.14,24.7,26.582,0/0,0,0,,21/1/14,0,,21/1/14,"3,035","12,812",9.47,0,591,227,141,35,"1,669",,21/1/14,429,8,2,446
22/1/14,79.35,24.77,26.571,0/0,0,0,,22/1/14,0,,22/1/14,"3,239","14,910",11.02,0,565,264,154,45,"1,931",,22/1/14,338,58,8,412
23/1/14,79.57,24.83,26.56,0/0,0,0,,23/1/14,0,,23/1/14,"2,903","10,514",7.77,0,"1,076",228,104,32,"1,466",,23/1/14,0,0,0,0
24/1/14,79.79,24.9,26.549,0/0,0,0,,24/1/14,0,,24/1/14,"3,001","12,938",9.56,0,677,206,129,40,"1,607",,24/1/14,340,38,11,388
25/1/14,80.01,24.97,26.538,0/0,0,0,,25/1/14,0,,25/1/14,"3,166","14,331",10.59,0,513,250,157,36,"1,846",,25/1/14,400,50,13,484
26/1/14,80.22,25.04,26.527,0/0,0,0,,26/1/14,0,,26/1/14,"3,083","12,580",9.3,0,"1,006",271,134,29,"1,740",,26/1/14,0,0,0,0
27/1/14,80.44,25.11,26.516,0/0,0,0,,27/1/14,0,,27/1/14,"3,072","12,715",9.4,0,517,263,140,28,"1,737",,27/1/14,377,52,24,492
28/1/14,80.66,25.17,26.505,0/0,0,0,,28/1/14,0,,28/1/14,"2,836","9,734",7.19,0,"1,090",223,102,25,"1,384",,28/1/14,0,0,0,0
29/1/14,80.87,25.24,26.494,0/0,0,0,,29/1/14,0,,29/1/14,"3,108","13,715",10.14,0,"1,007",247,171,15,"1,780",,29/1/14,0,0,0,0
30/1/14,81.09,25.31,26.483,0/0,0,0,,30/1/14,0,,30/1/14,"3,047","13,343",9.86,0,"1,064",190,143,43,"1,635",,30/1/14,0,0,0,0
31/1/14,81.31,25.38,26.472,0/0,0,0,,31/1/14,0,,31/1/14,"2,888","10,120",7.48,0,"1,074",235,113,18,"1,444",,31/1/14,0,0,0,0
1/2/14,81.52,25.44,26.461,0/0,0,0,,1/2/14,0,,1/2/14,"2,799","9,473",7,0,"1,094",216,114,16,"1,355",,1/2/14,0,0,0,0
2/2/14,81.74,25.51,26.45,0/0,0,0,,2/2/14,0,,2/2/14,"2,840","8,749",6.47,0,"1,050",270,115,5,"1,430",,2/2/14,0,0,0,0
3/2/14,81.96,25.58,26.439,0/0,0,0,,3/2/14,0,,3/2/14,"2,975","10,084",7.47,0,992,297,149,2,"1,639",,3/2/14,0,0,0,0
4/2/14,82.18,25.65,26.428,0/0,0,0,,4/2/14,0,,4/2/14,"3,064","13,019",9.62,0,"1,041",228,132,39,"1,675",,4/2/14,0,0,0,0
5/2/14,82.39,25.71,26.417,0/0,0,0,,5/2/14,0,,5/2/14,"2,689","8,686",6.42,0,"1,129",180,120,11,"1,221",,5/2/14,0,0,0,0
6/2/14,82.61,25.78,26.406,0/0,0,0,,6/2/14,0,,6/2/14,"3,019","12,657",9.35,0,"1,060",208,137,35,"1,606",,6/2/14,0,0,0,0
7/2/14,82.83,25.85,26.395,0/0,0,0,,7/2/14,0,,7/2/14,"2,847","10,345",7.64,0,"1,095",202,120,23,"1,400",,7/2/14,0,0,0,0
8/2/14,83.04,25.92,26.384,0/0,0,0,,8/2/14,0,,8/2/14,"3,000","11,311",8.36,0,"1,014",274,127,25,"1,659",,8/2/14,0,0,0,0
9/2/14,83.26,25.99,26.373,0/0,0,0,,9/2/14,0,,9/2/14,"2,731","8,306",6.14,0,"1,108",214,101,17,"1,268",,9/2/14,0,0,0,0
10/2/14,83.48,26.05,26.362,0/0,0,0,,10/2/14,0,,10/2/14,"3,020","13,274",9.81,0,"1,057",198,146,39,"1,645",,10/2/14,0,0,0,0
11/2/14,83.69,26.12,26.351,0/0,0,0,,11/2/14,0,,11/2/14,"2,955","12,692",9.38,0,992,197,97,57,"1,550",,11/2/14,80,10,3,97
12/2/14,83.91,26.19,26.34,0/0,0,0,,12/2/14,0,,12/2/14,"2,693","9,567",7.07,0,"1,147",173,91,29,"1,235",,12/2/14,0,0,0,0
13/2/14,84.13,26.26,26.329,0/0,0,0,,13/2/14,0,,13/2/14,"2,974","10,982",8.12,0,"1,030",262,122,26,"1,604",,13/2/14,0,0,0,0
14/2/14,84.35,26.32,26.318,0/0,0,0,,14/2/14,0,,14/2/14,"2,800","8,802",6.5,0,"1,075",254,92,19,"1,384",,14/2/14,0,0,0,0
15/2/14,84.56,26.39,26.307,0/0,0,0,,15/2/14,0,,15/2/14,"3,117","12,740",9.42,0,976,308,126,30,"1,836",,15/2/14,0,0,0,0
16/2/14,84.78,26.46,26.296,0/0,0,0,,16/2/14,0,,16/2/14,"2,874","10,639",7.86,0,"1,055",236,137,12,"1,510",,16/2/14,0,0,0,0
17/2/14,85,26.53,26.285,0/0,0,0,,17/2/14,0,,17/2/14,"2,879","11,167",8.25,0,"1,095",203,103,39,"1,451",,17/2/14,0,0,0,0
18/2/14,85.21,26.59,26.274,0/0,0,0,,18/2/14,0,,18/2/14,"2,783","8,709",6.45,0,"1,085",245,99,11,"1,345",,18/2/14,0,0,0,0
19/2/14,85.43,26.66,26.263,0/0,0,0,,19/2/14,0,,19/2/14,"2,219","3,135",2.32,0,"1,270",122,48,0,594,,19/2/14,0,0,0,0
20/2/14,85.65,26.73,26.252,0/0,0,0,,20/2/14,0,,20/2/14,"2,890","10,804",7.98,0,"1,093",206,104,37,"1,440",,20/2/14,0,0,0,0
21/2/14,85.86,26.8,26.241,0/0,0,0,,21/2/14,0,,21/2/14,"2,957","11,776",8.7,0,"1,069",219,121,31,"1,544",,21/2/14,0,0,0,0
22/2/14,86.1,26.87,26.2,0/0,0,0,,22/2/14,0,,22/2/14,"3,145","14,002",10.35,0,995,259,155,31,"1,841",,22/2/14,0,0,0,0
23/2/14,86.1,26.87,26.2,0/0,0,0,,23/2/14,0,,23/2/14,"2,751","9,130",6.75,0,"1,100",219,99,22,"1,333",,23/2/14,0,0,0,0
24/2/14,86.1,26.87,26.2,0/0,0,0,,24/2/14,0,,24/2/14,"2,877","11,119",8.22,0,"1,107",195,96,42,"1,420",,24/2/14,0,0,0,0
25/2/14,86.1,26.87,26.2,0/0,0,0,,25/2/14,0,,25/2/14,"3,002","11,760",8.69,0,"1,057",251,84,48,"1,597",,25/2/14,0,0,0,0
26/2/14,86.1,26.87,26.2,0/0,0,0,,26/2/14,0,,26/2/14,"3,397","16,876",12.48,0,922,281,188,49,"2,171",,26/2/14,0,0,0,0
27/2/14,86.1,26.87,26.2,0/0,0,0,,27/2/14,0,,27/2/14,"3,094","12,683",9.39,0,995,269,148,28,"1,776",,27/2/14,0,0,0,0
28/2/14,86.1,26.87,26.2,0/0,0,0,,28/2/14,0,,28/2/14,"3,234","15,393",11.38,0,993,243,155,49,"1,921",,28/2/14,0,0,0,0
1/3/14,86.1,26.87,26.2,0/0,0,0,,1/3/14,0,,1/3/14,"2,749","11,204",8.28,0,"1,157",130,97,48,"1,271",,1/3/14,0,0,0,8
2/3/14,86.1,26.87,26.2,0/0,0,0,,2/3/14,0,,2/3/14,"2,802","9,458",6.99,0,"1,101",218,98,23,"1,351",,2/3/14,0,0,0,0
3/3/14,86.1,26.87,26.2,0/0,0,0,,3/3/14,0,,3/3/14,"3,137","12,907",9.54,0,981,286,140,33,"1,833",,3/3/14,0,0,0,0
4/3/14,86.1,26.87,26.2,0/0,0,0,,4/3/14,0,,4/3/14,"2,966","12,478",9.22,0,"1,085",194,113,48,"1,543",,4/3/14,0,0,0,0
5/3/14,86.1,26.87,26.2,0/0,0,0,,5/3/14,0,,5/3/14,"3,170","14,794",10.93,0,"1,014",229,145,52,"1,839",,5/3/14,0,0,0,0
6/3/14,86.1,26.87,26.2,0/0,0,0,,6/3/14,0,,6/3/14,"2,994","12,049",8.91,0,"1,065",222,114,39,"1,572",,6/3/14,0,0,0,0
7/3/14,86.1,26.87,26.2,0/0,0,0,,7/3/14,0,,7/3/14,"2,539","7,186",5.31,0,"1,192",168,60,20,"1,005",,7/3/14,0,0,0,0
8/3/14,86.1,26.87,26.2,0/0,0,0,,8/3/14,0,,8/3/14,"3,045","13,022",9.63,0,"1,041",234,127,38,"1,679",,8/3/14,0,0,0,0
9/3/14,86.1,26.87,26.2,0/0,0,0,,9/3/14,0,,9/3/14,"2,810","8,745",6.46,0,"1,048",270,117,5,"1,440",,9/3/14,0,0,0,0
10/3/14,86.1,26.87,26.2,0/0,0,0,,10/3/14,0,,10/3/14,"3,117","13,604",10.05,0,"1,019",236,150,35,"1,770",,10/3/14,0,0,0,0
